producto|presentacion|marca|tipo|catalogo|precio|fecha|tienda|tipo_tienda|sucursal|direccion|estado|ciudad
aceite|botella 1 lt. mixto|1-2-3|aceites y grasas veg. comestibles|basicos|28.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
acondicionador y enjuague|botella 400 ml. control caida|pantene|arts. para el cuidado personal|basicos|57.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
agua con gas|botella 2 lt.|penafiel|refrescos envasados|basicos|21.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
agua sin gas|botella 1.5 lt. limon|be-light|refrescos envasados|basicos|16.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
agua sin gas|botella 1.5 lt.|bonafont|refrescos envasados|basicos|16.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
agua sin gas|botella 1.5 lt.|santa maria|refrescos envasados|basicos|17.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
alimento preparado para ninos|frasco 113 gr. a partir de los 6 meses. manzana|gerber|frutas y legumbres procesadas|basicos|12.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
alimento preparado para ninos|frasco 170 gr. a partir de los 8 meses. manzana|gerber|frutas y legumbres procesadas|basicos|15.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
atun|lata 140 gr. (clasico). en hojuelas en agua con aceite|tuny|pescados y mariscos en conserva|basicos|13.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
atun|lata 140 gr. (clasico). en hojuelas en agua|tuny. light|pescados y mariscos en conserva|basicos|13.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
azucar|bolsa plastico 1 kg. estandar morena|s/m|azucar|basicos|23.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
bebidas hidratantes|botella 600 ml. naranja. (sport bottle)|gatorade|refrescos envasados|basicos|21.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
bebidas hidratantes|botella 600 ml. frutas|powerade|refrescos envasados|basicos|17.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
blanqueador|botella 950 ml. el rendidor|cloralex|detergentes y productos similares|basicos|14.7|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
chiles|lata 220 gr. jalapenos rajas|la costena|frutas y legumbres procesadas|basicos|12.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema dental|tubo 100 ml. con calcio|colgate. maxima proteccion anticaries|arts. para el cuidado personal|basicos|20.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema liquida|botella 400 ml. esencial. piel seca|dove|arts. para el cuidado personal|basicos|58.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema liquida|botella 400 ml. piel normal|lubriderm|arts. para el cuidado personal|basicos|72.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema liquida|botella 400 ml. express hidration. piel normal|nivea|arts. para el cuidado personal|basicos|77.0|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema liquida|botella 400 ml. piel extra seca. yoghurt + frutas|palmolive. naturals|arts. para el cuidado personal|basicos|45.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema solida|frasco 400 ml.|nivea|arts. para el cuidado personal|basicos|100.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
crema solida|frasco 200 gr.|pond s. s|arts. para el cuidado personal|basicos|64.9|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
desodorante|roll on 50 ml. aclarado natural. para dama|nivea|arts. para el cuidado personal|basicos|30.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
desodorante|roll on 65 gr. frescura suave. para dama|obao|arts. para el cuidado personal|basicos|24.5|2018-01-02|benavides|farmacias|farmacia benavides sucursal paseo de la asuncion|convencion 710, esq. fundicion, col. olivares santana, cp. 20010|aguascalientes|aguascalientes
